time,bid,bidSize,ask,askSize,buyMO,sellMO,buySellImb,orderImb
1900-01-01 14:37:00,7923.5,26673,7924.0,1249217,59388,151034,-91646,-1222544
1900-01-01 14:37:15,7922.5,21931,7923.0,1165794,13598,34548,-20950,-1143863
1900-01-01 14:37:30,7919.5,16634,7920.0,855263,15149,99967,-84818,-838629
1900-01-01 14:37:45,7917.5,21020,7918.0,825187,41262,237819,-196557,-804167
1900-01-01 14:38:00,7916.0,546687,7916.5,319838,26104,459177,-433073,226849
1900-01-01 14:38:15,7919.5,181867,7920.0,917384,143669,220716,-77047,-735517
1900-01-01 14:38:30,7917.0,462630,7917.5,183544,11800,123823,-112023,279086
1900-01-01 14:38:45,7920.5,503848,7921.0,66844,108684,4500,104184,437004
1900-01-01 14:39:00,7922.0,624534,7922.5,28241,107616,79128,28488,596293
1900-01-01 14:39:15,7926.5,890662,7927.0,7972,156333,5000,151333,882690
1900-01-01 14:39:30,7923.5,181876,7924.0,427790,104208,170715,-66507,-245914
1900-01-01 14:39:45,7920.5,30831,7921.0,438994,17734,219102,-201368,-408163
1900-01-01 14:40:00,7915.5,38782,7916.0,462899,15679,185224,-169545,-424117
1900-01-01 14:40:15,7914.5,1467634,7915.0,47828,61025,276831,-215806,1419806
1900-01-01 14:40:30,7915.0,1209956,7915.5,28903,638749,90828,547921,1181053
1900-01-01 14:40:45,7920.5,767444,7921.0,76997,318583,3862,314721,690447
1900-01-01 14:41:00,7927.5,2115829,7928.0,2325,81957,4124,77833,2113504
1900-01-01 14:41:15,7932.5,74516,7933.0,1262600,561544,41880,519664,-1188084
1900-01-01 14:41:30,7930.0,152863,7930.5,1152191,26442,252135,-225693,-999328
1900-01-01 14:41:45,7928.5,5158,7929.0,1165090,10683,93473,-82790,-1159932
1900-01-01 14:42:00,7925.0,59776,7925.5,531822,5044,48021,-42977,-472046
1900-01-01 14:42:15,7921.0,1194881,7921.5,31945,21988,73210,-51222,1162936
1900-01-01 14:42:30,7924.0,910157,7924.5,27174,86954,4664,82290,882983
1900-01-01 14:42:45,7926.0,1214217,7926.5,6428,85069,14627,70442,1207789
1900-01-01 14:43:00,7929.5,638247,7930.0,31216,48168,59318,-11150,607031
1900-01-01 14:43:15,7931.5,244079,7932.0,320724,165231,6588,158643,-76645
1900-01-01 14:43:30,7931.5,114550,7932.0,446961,24200,69991,-45791,-332411
1900-01-01 14:43:45,7931.5,111069,7932.0,350026,188077,13062,175015,-238957
1900-01-01 14:44:00,7931.5,209276,7932.0,622829,51008,30,50978,-413553
1900-01-01 14:44:15,7932.5,1330691,7933.0,207415,488048,30,488018,1123276
1900-01-01 14:44:30,7937.5,1156801,7938.0,63660,284334,2316,282018,1093141
1900-01-01 14:44:45,7942.0,855272,7942.5,59578,223660,8460,215200,795694
1900-01-01 14:45:00,7942.0,919882,7942.5,95499,325647,50594,275053,824383
1900-01-01 14:45:15,7942.0,271804,7942.5,262009,47849,5474,42375,9795
1900-01-01 14:45:30,7942.0,147511,7942.5,411196,119113,50102,69011,-263685
1900-01-01 14:45:45,7938.0,55362,7938.5,634552,23600,82342,-58742,-579190
1900-01-01 14:46:00,7938.0,168146,7938.5,1077138,13890,62446,-48556,-908992
1900-01-01 14:46:15,7935.0,742304,7935.5,269327,11976,42192,-30216,472977
1900-01-01 14:46:30,7937.5,544898,7938.0,111159,125169,20028,105141,433739
1900-01-01 14:46:45,7940.5,913769,7941.0,68592,119005,7000,112005,845177
1900-01-01 14:47:00,7940.5,356805,7941.0,291941,26662,14674,11988,64864
1900-01-01 14:47:15,7940.5,250529,7941.0,527081,37182,23403,13779,-276552
1900-01-01 14:47:30,7940.5,340243,7941.0,462383,33300,5122,28178,-122140
1900-01-01 14:47:45,7940.5,320003,7941.0,584611,39200,10316,28884,-264608
1900-01-01 14:48:00,7940.5,178297,7941.0,635071,10550,72986,-62436,-456774
1900-01-01 14:48:15,7940.5,322732,7941.0,663666,46002,29560,16442,-340934
1900-01-01 14:48:30,7937.5,590878,7938.0,239258,34030,242014,-207984,351620
1900-01-01 14:48:45,7937.5,848632,7938.0,348904,12336,98752,-86416,499728
1900-01-01 14:49:00,7937.5,523515,7938.0,457409,3436,76901,-73465,66106
1900-01-01 14:49:15,7937.5,467766,7938.0,862068,8451,17116,-8665,-394302
1900-01-01 14:49:30,7936.0,67764,7936.5,656344,2140,1473963,-1471823,-588580
1900-01-01 14:49:45,7935.0,250992,7935.5,578078,22,149806,-149784,-327086
1900-01-01 14:50:00,7935.0,848550,7935.5,333187,8929,45982,-37053,515363
